1,108.977843,34.266265,418.762779,46.559395,59
1_2,108.977825,34.26627,410.360768,44.355139,58
1_2,108.977685,34.266272,412.774661,49.867569,58
1_2,108.977584,34.266273,409.360639,46.572366,58
1_2,108.977464,34.266264,402.850130,48.114605,58
1_2,108.977334,34.266245,421.589947,44.609877,58
1_2,108.977204,34.266216,402.599796,42.503204,58
1_2,108.977073,34.266158,415.773293,45.029877,58
1_2,108.976993,34.266099,415.570589,49.949665,58
1_2,108.976943,34.266059,420.238431,42.983081,58
1_2,108.976843,34.26594,407.127831,47.153974,58
1_2,108.976793,34.265841,408.215006,44.716259,58
1_2,108.976792,34.26584,401.823402,42.735553,58
1_2,108.976692,34.265781,399.734756,41.172036,58
1_2,108.976552,34.265742,423.778104,42.121634,58
1_2,108.976512,34.265743,421.044388,49.599709,58
1_2,108.976442,34.265733,421.820584,44.344448,58
1_2,108.97567,34.26573,402.349125,49.362148,58
1_2,108.97548,34.265731,397.745908,43.481012,58
1_2,108.975079,34.265724,415.403269,49.710151,58
1_2,108.974548,34.265728,411.910768,48.261497,58
1_2,108.973385,34.265736,426.898734,41.532051,58
1_2,108.973295,34.265736,408.306822,41.236835,58
1_2,108.972173,34.265763,412.608619,42.588287,58
1_2,108.971963,34.265774,407.123174,49.140228,58
1_2,108.971422,34.265786,418.354657,40.081586,58
1_2,108.971012,34.265798,413.231533,41.702951,58
1_2,108.970682,34.265799,407.310193,43.307946,58
2,108.970688,34.265795,397.335587,44.685077,57
2_3,108.97068,34.265799,409.570369,45.868338,56
2_3,108.97056,34.265809,410.600803,41.254385,56
2_3,108.97036,34.26582,421.068846,45.714864,56
2_3,108.97,34.265831,408.655438,48.700841,56
2_3,108.969679,34.265832,403.752815,46.941431,56
2_3,108.969619,34.265832,407.923857,46.445138,56
2_3,108.969499,34.265833,404.090586,47.814641,56
2_3,108.969429,34.265843,407.172287,44.745265,56
2_3,108.968089,34.265896,425.950173,48.950915,56
2_3,108.966998,34.265937,403.693079,44.729802,56
2_3,108.965109,34.265956,426.263502,48.594909,56
2_3,108.96349,34.265973,408.565317,40.885535,56
2_3,108.96292,34.265972,398.579145,46.915773,56
3,108.962931,34.265948,406.563938,45.766391,55
3_4,108.962919,34.265972,401.606817,48.338155,54
3_4,108.96243,34.26597,424.131952,40.782394,54
3_4,108.96234,34.26597,402.210983,43.046726,54
3_4,108.960682,34.265953,400.353071,40.711366,54
3_4,108.960593,34.265952,421.453702,45.445571,54
3_4,108.960463,34.265952,423.714526,43.964429,54
3_4,108.960363,34.265941,422.381130,41.665371,54
3_4,108.959794,34.265928,406.703260,40.249331,54
3_4,108.958856,34.265912,426.576298,45.677861,54
